Tweet,Etiket,cleaned_tweet
Irmağa giren Suriyeli boğuldu https://t.co/ZNV3TzYN8V,hiçbiri,irmağa giren suriyeli boğuldu
"KİMİN PARASINI KİME VERİYORSUNUZ!??

Çalışma Bakanlığı öncülüğünde başlatılan programa göre, Suriyeli işçi çalıştırılan iş yerlerine 11 bin 400 TL'ye kadar teşvik verilecek.... https://t.co/6cNA3LPQd6",hiçbiri,ki̇mi̇n parasini ki̇me veri̇yorsunuz çalışma bakanlığı öncülüğünde başlatılan programa göre suriyeli işçi çalıştırılan iş yerlerine 11 bin 400 tl ye kadar teşvik verilecek
1 suriyeli alana 1 Türk hediye... Çok yakında! https://t.co/N34pJGYR9V,nefret,1 suriyeli alana 1 türk hediye yakında
"Bu kadar işsiz Türk genci varken, Suriyeli çalıştırana neden teşvik olacak. Suriyelileri isyemiyoruz. Türkiye ekonomisinin çökme noktasında olmasının en büyük sebeplerinden biri Suriye'lilerdir. https://t.co/XNrsKHx2gn",nefret,kadar işsiz türk genci varken suriyeli çalıştırana teşvik olacak suriyelileri isyemiyoruz türkiye ekonomisinin çökme noktasında olmasının büyük sebeplerinden suriye lilerdir
Ülke işsiz gençlerle dolu. Vatandaşın parası Suriyeli istihdamına harcanıyor. Sözde yerli ve milli. Sandıkta görüşürüz! https://t.co/YPBERSiC45,hiçbiri,lke işsiz gençlerle dolu vatandaşın parası suriyeli istihdamına harcanıyor sözde yerli milli sandıkta görüşürüz
"Al sana Suriyeli... :(
Sabah şirkete geldim.
Baktım jeneratörle çalışıyoruz.
Kesinti ya da arıza vardır dedim.
Ayedaş'ı aradık bölgede çalışma yok dediler.
--- Sürecek... https://t.co/FXTF3KXIjl",nefret,al sana suriyeli sabah şirkete geldim baktım jeneratörle çalışıyoruz kesinti arıza vardır dedim ayedaş ı aradık bölgede çalışma yok dediler sürecek
Muhteşem bir miting düzenlemişsin #Ekremİmamoğlu baya baya Fransızların öncülerinde bir miting olmuş. Ülkemizin paraları nerede görüyoruz biz yerli araba üretsek bile yine batının ürettiklerinden vazgeçmeyiz. O kadar parayı fakir fukaraya ver hayır dua kazan🤲 Suriyeli kere değil,nefret,muhteşem bir miting düzenlemişsin baya baya fransızların öncülerinde bir miting olmuş lkemizin paraları görüyoruz yerli araba üretsek bile yine batının ürettiklerinden vazgeçmeyiz kadar parayı fakir fukaraya ver hayır dua kazan suriyeli kere değil
"Siz onlara Suriyeli diyorsunuz ama onlar aslında Suriyesiz 
Först leydi E.Erdoğan",hiçbiri,onlara suriyeli diyorsunuz onlar suriyesiz först leydi e erdoğan
Bir Suriyeli mahalledeki siyagi sayısı çoğaldı diye sitem etti. Troll mu ciddi mi diye baktım ciddi bir de :D:ddD,nefret,bir suriyeli mahalledeki siyagi sayısı çoğaldı sitem etti troll ciddi mi baktım ciddi bir d ddd
Olm kocasinanda kayboldum 3 kişiye yol sordum 3üde suriyeli aq ne dediğimi anlamıyolar anlasalar bilmiyorlar nereye düştüm ben allahım türk yok mu ya türk diye ağlıcam şimdi,nefret,olm kocasinanda kayboldum 3 kişiye yol sordum 3üde suriyeli aq dediğimi anlamıyolar anlasalar bilmiyorlar düştüm ben allahım türk yok türk ağlıcam şimdi
Peki sokakta gördüğüm yakışıklı çocuğun suriyeli cikmasi bu da sevdaya dahil mi kuzen @zeynepTekdemi13 😂😂,hiçbiri,peki sokakta gördüğüm yakışıklı çocuğun suriyeli cikmasi sevdaya dahil mi kuzen
1 suriyeli + 1 türk işe alacağına 1 türk + 1 türk işçi işe alın amk https://t.co/e1yXeI5S6f,nefret,1 suriyeli 1 türk işe alacağına 1 türk 1 türk işçi işe alın amk
Kral Selman Yardım Merkezi #Lübnan’daki Suriyeli mültecilere yardım kartı dağıttı https://t.co/VPykkTi8Zy,hiçbiri,kral selman yardım merkezi daki suriyeli mültecilere yardım kartı dağıttı
Aaa kim bu Suriyeli tanıyan varmı https://t.co/ezjvuGWpXP,hiçbiri,aaa suriyeli tanıyan varmı
"Suriyeli aile evini kaçak muayenehaneye, babasının evini ecza deposuna çevirmiş https://t.co/iM1IVhTj0c",nefret,suriyeli aile evini kaçak muayenehaneye babasının evini ecza deposuna çevirmiş
"İstanbul, Adana, Bursa, Hatay ve Konya’da 1100 Suriyeli ve 1100 Türk işçi için teşvik sağlanacak. Ayrıca, 1600 Suriyeli işçinin çalışma izni ücretleri karşılanacak. https://t.co/DshJjJgxBW",hiçbiri,i̇stanbul adana bursa hatay konya 1100 suriyeli 1100 türk işçi teşvik sağlanacak ayrıca 1600 suriyeli işçinin çalışma izni ücretleri karşılanacak
Herşey çok güzel oldu daha da güzel olacak ülkeyi ele alsınlar bakın ozaman!o aşağıladığınız Suriyeli savaş mağdurları varya onlar bize sığında bizim gidecek hiç bir yerimiz yok hiçbir farkımız kalmayacak onlar gibi olacağız bu kadar vatan haini varken ☹️☹️ https://t.co/On1uGynyUK,hiçbiri,herşey güzel oldu güzel olacak ülkeyi ele alsınlar bakın ozaman aşağıladığınız suriyeli savaş mağdurları varya onlar bize sığında bizim gidecek bir yerimiz yok hiçbir farkımız kalmayacak onlar olacağız kadar vatan haini varken
Suriyeli hangisini https://t.co/0s9UUpNu7M,hiçbiri,suriyeli hangisini
Biz bu ülkede ülkemizi sömüren kültür ananelerimizi yok eden ekonomimizi mahveden asalak Suriyeli istemiyoruz,nefret,ülkede ülkemizi sömüren kültür ananelerimizi yok eden ekonomimizi mahveden asalak suriyeli istemiyoruz
Dayı Suriyeli galiba çaktırmıyor https://t.co/2HbRKyW6qf,hiçbiri,dayı suriyeli galiba çaktırmıyor
"İdlib'deki rejim saldırıları, göç riskini artırıyormuş. Dolu otobüs gibiyiz, suriyeli alacak yer kalmadı. Arkalara doğru ilerleyemiyoruz...",hiçbiri,i̇dlib deki rejim saldırıları göç riskini artırıyormuş dolu otobüs gibiyiz suriyeli alacak yer kalmadı arkalara doğru ilerleyemiyoruz
Senin ülkenin Cumhurbaşkanı’nın fotoğrafını ayaklar altına alıp yakıyorlar. Sen de nefret ettiğin Suriyeli 3-5 kişiyi destekliyorsun. Sizin Atatürk anlayışı ile de ilginiz yok. Düşmanının bayrağını ya da liderinin fotoğrafını asla yaktırmazdı https://t.co/EXS8Ko8nA4,hiçbiri,senin ülkenin cumhurbaşkanı nın fotoğrafını ayaklar altına alıp yakıyorlar sen nefret ettiğin suriyeli 3 5 kişiyi destekliyorsun sizin atatürk anlayışı ilginiz yok düşmanının bayrağını liderinin fotoğrafını asla yaktırmazdı
"Akp trolleri  #İBByeBoykot uyguluyormuş, İstanbul’u terk etmeleri bekleniyor. Not: giderken yanınıza birer Suriyeli almayı unutmayın.",nefret,akp trolleri uyguluyormuş i̇stanbul u terk etmeleri bekleniyor not giderken yanınıza birer suriyeli almayı unutmayın
"Suriyeli ehliyetsiz sürücü polisin takibinden kaçamadı - Samsun Haberleri

https://t.co/veY00aXrv3 https://t.co/r5J4qBeFWq",nefret,suriyeli ehliyetsiz sürücü polisin takibinden kaçamadı samsun haberleri
"Emekli olduğu halde çalışan 62 yaşında bir işçi, “2017’de doldurduğum bir market arabasının bugün çeyreğini doldurabiliyorum. Geçinemiyorum” diyor. Suriyeli işçiler ise ‘ucuz işgücü’ olarak görüldüklerini, ayrımcılığa maruz kaldıklarını anlatıyor.
https://t.co/scCXr7xyLT https://t.co/U4zFPiXds0",hiçbiri,emekli olduğu halde çalışan 62 yaşında bir işçi 2017 doldurduğum bir market arabasının bugün çeyreğini doldurabiliyorum geçinemiyorum diyor suriyeli işçiler ucuz işgücü olarak görüldüklerini ayrımcılığa maruz kaldıklarını anlatıyor
"Ankara'da kendisini doktor olarak tanıtan Suriyeli kadın, evini merdiven altı muayenehaneye, babasının evini ise ecza deposuna çevirdi. Yabancılara olumsuz koşullarda sağlık hizmeti veren Suriye uyruklu 3 kişi yakalandı. 

-sptnk-",nefret,ankara kendisini doktor olarak tanıtan suriyeli kadın evini merdiven altı muayenehaneye babasının evini ecza deposuna çevirdi yabancılara olumsuz koşullarda sağlık hizmeti veren suriye uyruklu 3 kişi yakalandı sptnk
"Suriyeli'ler Mutmain, bizler pejmürde olduk.",nefret,suriyeli ler mutmain bizler pejmürde olduk
"Suriyeli sığınmacılar gitmeliler mi kalmalılar mı

https://t.co/CloNQs69FY https://t.co/rtgOH2PaZ0",hiçbiri,suriyeli sığınmacılar gitmeliler mi kalmalılar
Şuan Suriyeli olsam doktora girmiş çıkmıştım.,nefret,şuan suriyeli olsam doktora girmiş çıkmıştım
"📌Bakan Soylu : Türkiye'de 450 bin Suriyeli çocuk doğdu
 DEMİŞ...",hiçbiri,bakan soylu türkiye 450 bin suriyeli çocuk doğdu demi̇ş
Türkiye’de Suriyeli Olmak https://t.co/e6uOZ1LnRr,hiçbiri,türkiye suriyeli olmak
"Ankara’dayım, vakit geçirmek için Kızılay’da bir internet cafeye geldim arkamda 3 tane suriyeli fortnite oynuyor ama iç savaş sesleri çıkarıyolar bu nası info vermek allahu ekber amk",nefret,ankara dayım vakit geçirmek kızılay bir internet cafeye geldim arkamda 3 tane suriyeli fortnite oynuyor iç savaş sesleri çıkarıyolar nası info vermek allahu ekber amk
1 Suriyeli + 1 Afgan alsak kaça bırakırsın fiş de almıycaz https://t.co/cGg9h6dIKU,nefret,1 suriyeli 1 afgan alsak kaça bırakırsın fiş almıycaz
Tranvaydaki yolcuların % 80'ni Suriyeli olan Gaziantep.Sanki Halep'deyim.Valla yüksek ses ile konuşma.Saygısızlık.Kendi ülkelerinde olsalar bu kadar rahat olamazlar.Çok yazık ettiler bizlere.😡🇹🇷🇹🇷🇹🇷,nefret,tranvaydaki yolcuların 80 ni suriyeli olan gaziantep halep deyim valla yüksek s konuşma saygısızlık kendi ülkelerinde olsalar kadar rahat olamazlar yazık ettiler bizlere
"Öncelikle güzel ülkem Türkiye'me selamlar. 
""Camide Suriyeli yok"" iddiası var @h_hatemi hocam.
İki satır karalarmı sınız? https://t.co/0SRG7Y3Lx5",nefret,öncelikle güzel ülkem türkiye me selamlar camide suriyeli yok iddiası var hocam i̇ki satır karalarmı sınız
Şimde fark ettim de olduğum yer de hiç Suriyeli yaşamıyor.,hiçbiri,şimde fark ettim olduğum yer suriyeli yaşamıyor
"ne diyeceğim bilemiyorum

Suriyeli çalıştırana teşvik, Türk çalışana yok! - Batuhan ÇOLAK https://t.co/kxSTCp0dye",hiçbiri,diyeceğim bilemiyorum suriyeli çalıştırana teşvik türk çalışana yok batuhan çolak
"Tekstil sektöründen bir dostum; 
""Ucuza Suriyeli çalıştırmadıkları için iş alamayan ve batma düzeyine gelen atölyeler, Suriyelilerin kayıtlı oldukları kentlere gönderilmesiyle tekrar iş alıp, çalışmaya başladılar."" https://t.co/kXf59eGTzp",hiçbiri,tekstil sektöründen bir dostum ucuza suriyeli çalıştırmadıkları iş alamayan batma düzeyine gelen atölyeler suriyelilerin kayıtlı oldukları kentlere gönderilmesiyle tekrar iş alıp çalışmaya başladılar
"Ümmet için,millet için, birlik için, suriyeli apaçi kardeşlerimiz için #İBByeBoykot https://t.co/fbzrOMb1ru",nefret,mmet millet birlik suriyeli apaçi kardeşlerimiz
Mardin-Kızıltepe ilçesinde Lider kadın Derneği’nin yaptıkları etkinlikler sayesinde Suriye’li kadınlar hayata tutunuyor. Konuklarımız Lider Kadın Derneği kurucusu ve Proje Müdürü Leyla Onur Yanar ve Suriyeli kursiyerler. https://t.co/GVgvg8UaxZ,hiçbiri,mardin kızıltepe ilçesinde lider kadın derneği nin yaptıkları etkinlikler sayesinde suriye li kadınlar hayata tutunuyor konuklarımız lider kadın derneği kurucusu proje müdürü leyla onur yanar suriyeli kursiyerler
"Suriyeli Kürtlerden güvenli bölge açıklaması: Türk askerleri sınırdan çekilmeli

""Türk askerleri sınırlardan çekilmezse, her zaman bir tehdit olarak değerlendirilecek""

[Ahval News] https://t.co/jYexnlqEhi",hiçbiri,suriyeli kürtlerden güvenli bölge açıklaması türk askerleri sınırdan çekilmeli türk askerleri sınırlardan çekilmezse zaman bir tehdit olarak değerlendirilecek ahval news
“100 binden fazla Suriyeli İstanbul’dan ayrılıyor” https://t.co/lYFIJStwlA @iznewsturkiye aracılığıyla https://t.co/IqVvqDfvjk,hiçbiri,100 binden fazla suriyeli i̇stanbul dan ayrılıyor aracılığıyla
Mesleği sınıf öğretmenliği olan bir arkadaşım var her yıl en az 3-4 tane Suriyeli çocuğa Türkçe konuşmayı/okumayı/yazmayı öğretip onların eğitim sistemine entegre olmalarını sağlıyor. Bakın bu ülke böyle insanlar omuzları üzerinde yükseliyor.,hiçbiri,mesleği sınıf öğretmenliği olan bir arkadaşım var yıl 3 4 tane suriyeli çocuğa türkçe konuşmayı okumayı yazmayı öğretip onların eğitim sistemine entegre olmalarını sağlıyor bakın ülke böyle insanlar omuzları üzerinde yükseliyor
"Suriyeli promosyonu | Suriyeli çalıştırana Türk işsiz eşantiyon  Haberi, Haberler, Son dakika haberler https://t.co/iGTLkl7Fne @skyturknet aracılığıyla",nefret,suriyeli promosyonu suriyeli çalıştırana türk işsiz eşantiyon haberi haberler son dakika haberler aracılığıyla
Türkiye'yi Suriye batakligina sokarak Askeriye'ye ve suriyeli göcmenlere yapilan milyarlik harcamalarla Ekonominin batmasina ve yüzlerce asker ve sivil sehitler verilmesine sebep olan Ahmet Davutoglu ölünce Cehennem'e mi gider yoksa Dâr-ül Harb kahramani olarak Cennet'e mi gider?,hiçbiri,türkiye yi suriye batakligina sokarak askeriye ye suriyeli göcmenlere yapilan milyarlik harcamalarla ekonominin batmasina yüzlerce asker sivil sehitler verilmesine sebep olan ahmet davutoglu ölünce cehennem e mi gider yoksa d r ül harb kahramani olarak cennet e mi gider
"Kusura bakmayın Gardaş
Tüm kadroyu Suriyeli canlarla değiştiriyorum https://t.co/1XNU91q7nF",hiçbiri,kusura bakmayın gardaş kadroyu suriyeli canlarla değiştiriyorum
"Arkadaşım Suriyelileri çok eleştiriyorum diye bana kızıp bir Suriyeli Milli Mücadele videosu gönderdi.. Gerçekten çok duygulandım #ÖzürDilerim..  
#Persembe https://t.co/YJv8Z4DjI9",hiçbiri,arkadaşım suriyelileri eleştiriyorum bana kızıp bir suriyeli milli mücadele videosu gönderdi gerçekten duygulandım
Günaydın ☀️.. Gerçekten istemezdim bunu yapmayı #ÖzürDilerim ama İstanbul’a bu kadar çok Suriyeli yerleştirdiği için ben de #IBByeBoykot ediyorum !,nefret,günaydın gerçekten istemezdim bunu yapmayı i̇stanbul a kadar suriyeli yerleştirdiği ben ediyorum
"Yakılan ormanlara ,İşkence edilen sokak hayvanlarına ,Memleketimi dolduran suriyeli insanlara ,Sabah kalktığımzda haberdar olduğumuz zamlara ,Tahrip edilen tarihi miraslarımıza ,İNSANLIKtan çıkmış gibi bu olan biteni doğal karşılayışımıza ... #BirKezOlsunTepkiKoyun",nefret,yakılan ormanlara i̇şkence edilen sokak hayvanlarına memleketimi dolduran suriyeli insanlara sabah kalktığımzda haberdar olduğumuz zamlara tahrip edilen tarihi miraslarımıza i̇nsanliktan çıkmış olan biteni doğal karşılayışımıza
#Perşembe Bol Suriyeli bir İstanbul sabahından günaydın.Suriyeli orta kesimlerde hafif şiddetli kıyı kesimlerde yer yer görünüp kaybolma şeklinde hayatımızın içinde.,nefret,bol suriyeli bir i̇stanbul sabahından günaydın suriyeli orta kesimlerde hafif şiddetli kıyı kesimlerde yer yer görünüp kaybolma şeklinde hayatımızın içinde
Suriyeli Haznevi Tarikatı Türkiye'de devasa külliye açıyor https://t.co/js5BfEDEXz,hiçbiri,suriyeli haznevi tarikatı türkiye devasa külliye açıyor
"Suriyeli eylemciler tarafından Tayyip Erdoğan posteri yakılalı tam 4 gün oldu. Ben muhalif birisi olmama rağmen Cumhurbaşkanı’nın posterinin yakılmasına tepkiliyken, siz genel başkanınızın posterinin yakılmasına neden susuyorsunuz? Bu mu sizin milli duruşunuz ey AKP’liler? https://t.co/6u3Qt6hVj9",hiçbiri,suriyeli eylemciler tarafından tayyip erdoğan posteri yakılalı tam 4 gün oldu ben muhalif birisi olmama rağmen cumhurbaşkanı nın posterinin yakılmasına tepkiliyken genel başkanınızın posterinin yakılmasına susuyorsunuz sizin milli duruşunuz ey akp liler
Bu saati sevme nedenim bir tane bile Suriyeli yok ne güzel,nefret,saati sevme nedenim bir tane bile suriyeli yok güzel
"İdlib raporu: On binlerce Suriyeli daha Türkiye’ye gelebilir

[Ahval News] https://t.co/JnefQd3b6X",hiçbiri,i̇dlib raporu on binlerce suriyeli türkiye ye gelebilir ahval news
"#ÖzürDilerim
Suriyede ki türkmenlerin acısının sorumlusu 
Suriyeli Araplardır 
Özür dilerim misak-ı milli",nefret,suriyede türkmenlerin acısının sorumlusu suriyeli araplardır özür dilerim misak ı milli
"Arapça yazıyı araplar, hatta suriyeli mülteciler yazdı varsayımı yapmak, baya ilkel bir mantık. Okuma yazmanız var, hayret. Ve evet, düpedüz ırkçısın, mentionların da ırkçı. Üşenmedim, hepsini tek tek şikayet ettim, teşhir de ediyorum. Azalarak bitin. https://t.co/RdE5cFcvUi https://t.co/Vb5UOiHsHp",hiçbiri,arapça yazıyı araplar hatta suriyeli mülteciler yazdı varsayımı yapmak baya ilkel bir mantık okuma yazmanız var hayret evet düpedüz ırkçısın mentionların ırkçı şenmedim hepsini tek tek şikayet ettim teşhir ediyorum azalarak bitin
"KAÇAK-SARAY ve KAÇAK MİSAK-I MİLLİ olmaz
KAÇAK-MEDYAnın hilafına Bilimsel, Askeri görüşler, kısaca
İdlib’ten gelen Suriyeli cihatçıların sınırdaki Türkiye karşıtı eylemlerinin sansürsüz görüntüleri,Yeni çekiç güç hazırlıkları, Komutandan iç savaş uyarısı.
https://t.co/pD9Mi1oB4l",hiçbiri,kaçak saray kaçak mi̇sak i mi̇lli̇ olmaz kaçak medyanın hilafına bilimsel askeri görüşler kısaca i̇dlib ten gelen suriyeli cihatçıların sınırdaki türkiye karşıtı eylemlerinin sansürsüz görüntüleri yeni çekiç güç hazırlıkları komutandan iç savaş uyarısı
"Füze nasıl atılır, suriyeli nasıl kapak edilir ekte 👇🏻

Taklitler aslını yüceltir. https://t.co/jlB9cSA3iG",nefret,füze atılır suriyeli kapak edilir ekte taklitler aslını yüceltir
Gecenin 3 ünde niye yoldan geçerken Suriyeli gibi bağıra bağıra konuşuyorsun abi derdin ne,nefret,gecenin 3 ünde yoldan geçerken suriyeli bağıra bağıra konuşuyorsun abi derdin
Suriyeli Haznevi Tarikatı Türkiye'de devasa külliye açıyor https://t.co/cyDjSNAzjL,hiçbiri,suriyeli haznevi tarikatı türkiye devasa külliye açıyor
Suriyeli👍 https://t.co/nu8tE8X805,hiçbiri,suriyeli
saka saka suriyeli sanmislar halime acimislar o yüzden ikram etmisler,hiçbiri,saka saka suriyeli sanmislar halime acimislar yüzden ikram etmisler
"İçişleri Bakanlığı'ndan 'Suriyeli' açıklaması: 35 bin kişi İstanbul'dan gönderildi
https://t.co/LOcE87yckN https://t.co/xrOr213mnm",hiçbiri,i̇çişleri bakanlığı ndan suriyeli açıklaması 35 bin kişi i̇stanbul dan gönderildi
Sınır dışı edemiyor muyuz hepsini?Suriyeli falan diye araya sıkıştıralım https://t.co/pI1NDXJtLT,nefret,sınır dışı edemiyor muyuz hepsini suriyeli falan araya sıkıştıralım
Koca Avm de 2 kishi gördüm . Son 30 yilin en büyük krizi gelmish 20000 ABD  dolari 30000 Canada dolari ve 120 000 000 000 TL. Sen hala halkin malini mulkunu sattirip savash naralari at 4 milyon suriyeli besle 2 trilyon dolar savasha yatir https://t.co/WvDSPHUE6E,nefret,koca avm 2 kishi gördüm son 30 yilin büyük krizi gelmish 20000 abd dolari 30000 canada dolari 120 000 000 000 tl sen hala halkin malini mulkunu sattirip savash naralari at 4 milyon suriyeli besle 2 trilyon dolar savasha yatir
"Kuş uyudun mu?
@ankara_kusu 
Bir arkadaşım yorum yapmış bir yerde fıkra gibi ,yazayimda gül..

""Bahçeli'nin aldığı oy dan fazla Suriyeli var memlekette,neyin milliyetçisi bu püskevit ""diyor kendisi...

Acayip güldüm..cuk oturmuş ama dimi...",hiçbiri,kuş uyudun bir arkadaşım yorum yapmış bir yerde fıkra yazayimda gül bahçeli nin aldığı oy dan fazla suriyeli var memlekette neyin milliyetçisi püskevit diyor kendisi acayip güldüm cuk oturmuş dimi
Bafra’da Ehliyetsiz Araç Kullanan Suriyeli Ceza Yedi https://t.co/WAYuT0jrSn,nefret,bafra ehliyetsiz araç kullanan suriyeli ceza yedi
Benim mehmetçiğim Arap topraklarında şehit olurken Suriyeli vatan hainleri cafelerde nargile keyfi yapıp kadınlarla eğleniyor ! Uyan Türkiyem uyan !!! https://t.co/cyPDjxuokw,nefret,benim mehmetçiğim arap topraklarında şehit olurken suriyeli vatan hainleri cafelerde nargile keyfi yapıp kadınlarla eğleniyor uyan türkiyem uyan
Pubgde beni vuran suriyeli siktirgit kendi ülkende aynı performansı göster lan birinciliği kaybettimmm çok sinirliyim,nefret,pubgde beni vuran suriyeli siktirgit kendi ülkende aynı performansı göster lan birinciliği kaybettimmm sinirliyim
Suriyeliler üzerinden planlanan provokasyonun büyüklüğünü net gösteren örnek Youtube'da bir kanalAynı kişi önce Suriyeli rolünde maaş alıyoruz Başka bir röpörtajdaysa Türkiye vatandaşı olarak asılsız yalanlar sıralıyor tutuklansın bu namussuzlar bu videolarla millet kışkırtılıyor https://t.co/KnqDoi6mHf,saldırgan,suriyeliler üzerinden planlanan provokasyonun büyüklüğünü net gösteren örnek youtube bir kanalaynı kişi önce suriyeli rolünde maaş alıyoruz başka bir röpörtajdaysa türkiye vatandaşı olarak asılsız yalanlar sıralıyor tutuklansın namussuzlar videolarla millet kışkırtılıyor
