,Unnamed: 0,Unnamed: 1,SON ETİKET,Unnamed: 3
21,Row669,"Bu kadar işsiz Türk genci varken, Suriyeli çalıştırana neden teşvik olacak. Suriyelileri isyemiyoruz. Türkiye ekonomisinin çökme noktasında olmasının en büyük sebeplerinden biri Suriye'lilerdir. https://t.co/XNrsKHx2gn",nefret,etnik
22,Row677,Ülke işsiz gençlerle dolu. Vatandaşın parası Suriyeli istihdamına harcanıyor. Sözde yerli ve milli. Sandıkta görüşürüz! https://t.co/YPBERSiC45,hiçbiri,
23,Row690,"Al sana Suriyeli... :(
Sabah şirkete geldim.
Baktım jeneratörle çalışıyoruz.
Kesinti ya da arıza vardır dedim.
Ayedaş'ı aradık bölgede çalışma yok dediler.
--- Sürecek... https://t.co/FXTF3KXIjl",nefret,etnik
24,Row692,Muhteşem bir miting düzenlemişsin #Ekremİmamoğlu baya baya Fransızların öncülerinde bir miting olmuş. Ülkemizin paraları nerede görüyoruz biz yerli araba üretsek bile yine batının ürettiklerinden vazgeçmeyiz. O kadar parayı fakir fukaraya ver hayır dua kazan🤲 Suriyeli kere değil,nefret,etnik
25,Row695,"Siz onlara Suriyeli diyorsunuz ama onlar aslında Suriyesiz 
Först leydi E.Erdoğan",hiçbiri,
26,Row697,Bir Suriyeli mahalledeki siyagi sayısı çoğaldı diye sitem etti. Troll mu ciddi mi diye baktım ciddi bir de :D:ddD,nefret,etnik
27,Row700,Olm kocasinanda kayboldum 3 kişiye yol sordum 3üde suriyeli aq ne dediğimi anlamıyolar anlasalar bilmiyorlar nereye düştüm ben allahım türk yok mu ya türk diye ağlıcam şimdi,nefret,etnik
28,Row735,Peki sokakta gördüğüm yakışıklı çocuğun suriyeli cikmasi bu da sevdaya dahil mi kuzen @zeynepTekdemi13 😂😂,hiçbiri,
29,Row739,1 suriyeli + 1 türk işe alacağına 1 türk + 1 türk işçi işe alın amk https://t.co/e1yXeI5S6f,nefret,etnik
30,Row745,Kral Selman Yardım Merkezi #Lübnan’daki Suriyeli mültecilere yardım kartı dağıttı https://t.co/VPykkTi8Zy,hiçbiri,
31,Row746,Aaa kim bu Suriyeli tanıyan varmı https://t.co/ezjvuGWpXP,hiçbiri,
32,Row759,"Suriyeli aile evini kaçak muayenehaneye, babasının evini ecza deposuna çevirmiş https://t.co/iM1IVhTj0c",nefret,etnik
33,Row771,"İstanbul, Adana, Bursa, Hatay ve Konya’da 1100 Suriyeli ve 1100 Türk işçi için teşvik sağlanacak. Ayrıca, 1600 Suriyeli işçinin çalışma izni ücretleri karşılanacak. https://t.co/DshJjJgxBW",hiçbiri,
34,Row786,Herşey çok güzel oldu daha da güzel olacak ülkeyi ele alsınlar bakın ozaman!o aşağıladığınız Suriyeli savaş mağdurları varya onlar bize sığında bizim gidecek hiç bir yerimiz yok hiçbir farkımız kalmayacak onlar gibi olacağız bu kadar vatan haini varken ☹️☹️ https://t.co/On1uGynyUK,hiçbiri,
35,Row800,Suriyeli hangisini https://t.co/0s9UUpNu7M,hiçbiri,
36,Row824,Biz bu ülkede ülkemizi sömüren kültür ananelerimizi yok eden ekonomimizi mahveden asalak Suriyeli istemiyoruz,nefret,etnik
37,Row829,Dayı Suriyeli galiba çaktırmıyor https://t.co/2HbRKyW6qf,hiçbiri,
38,Row835,"İdlib'deki rejim saldırıları, göç riskini artırıyormuş. Dolu otobüs gibiyiz, suriyeli alacak yer kalmadı. Arkalara doğru ilerleyemiyoruz...",hiçbiri,
39,Row837,Senin ülkenin Cumhurbaşkanı’nın fotoğrafını ayaklar altına alıp yakıyorlar. Sen de nefret ettiğin Suriyeli 3-5 kişiyi destekliyorsun. Sizin Atatürk anlayışı ile de ilginiz yok. Düşmanının bayrağını ya da liderinin fotoğrafını asla yaktırmazdı https://t.co/EXS8Ko8nA4,hiçbiri,
40,Row842,"Akp trolleri  #İBByeBoykot uyguluyormuş, İstanbul’u terk etmeleri bekleniyor. Not: giderken yanınıza birer Suriyeli almayı unutmayın.",nefret,etnik
41,Row848,"Suriyeli ehliyetsiz sürücü polisin takibinden kaçamadı - Samsun Haberleri

https://t.co/veY00aXrv3 https://t.co/r5J4qBeFWq",nefret,etnik
42,Row850,"Emekli olduğu halde çalışan 62 yaşında bir işçi, “2017’de doldurduğum bir market arabasının bugün çeyreğini doldurabiliyorum. Geçinemiyorum” diyor. Suriyeli işçiler ise ‘ucuz işgücü’ olarak görüldüklerini, ayrımcılığa maruz kaldıklarını anlatıyor.
https://t.co/scCXr7xyLT https://t.co/U4zFPiXds0",hiçbiri,
43,Row858,"Ankara'da kendisini doktor olarak tanıtan Suriyeli kadın, evini merdiven altı muayenehaneye, babasının evini ise ecza deposuna çevirdi. Yabancılara olumsuz koşullarda sağlık hizmeti veren Suriye uyruklu 3 kişi yakalandı. 

-sptnk-",nefret,etnik
44,Row859,"Suriyeli'ler Mutmain, bizler pejmürde olduk.",nefret,etnik
45,Row864,"Suriyeli sığınmacılar gitmeliler mi kalmalılar mı

https://t.co/CloNQs69FY https://t.co/rtgOH2PaZ0",hiçbiri,
46,Row879,Şuan Suriyeli olsam doktora girmiş çıkmıştım.,nefret,etnik
47,Row898,"📌Bakan Soylu : Türkiye'de 450 bin Suriyeli çocuk doğdu
 DEMİŞ...",hiçbiri,
48,Row915,Türkiye’de Suriyeli Olmak https://t.co/e6uOZ1LnRr,hiçbiri,
49,Row931,"Ankara’dayım, vakit geçirmek için Kızılay’da bir internet cafeye geldim arkamda 3 tane suriyeli fortnite oynuyor ama iç savaş sesleri çıkarıyolar bu nası info vermek allahu ekber amk",nefret,etnik
50,Row943,1 Suriyeli + 1 Afgan alsak kaça bırakırsın fiş de almıycaz https://t.co/cGg9h6dIKU,nefret,etnik
51,Row966,Tranvaydaki yolcuların % 80'ni Suriyeli olan Gaziantep.Sanki Halep'deyim.Valla yüksek ses ile konuşma.Saygısızlık.Kendi ülkelerinde olsalar bu kadar rahat olamazlar.Çok yazık ettiler bizlere.😡🇹🇷🇹🇷🇹🇷,nefret,etnik
52,Row993,"Öncelikle güzel ülkem Türkiye'me selamlar. 
""Camide Suriyeli yok"" iddiası var @h_hatemi hocam.
İki satır karalarmı sınız? https://t.co/0SRG7Y3Lx5",nefret,etnik
53,Row1000,Şimde fark ettim de olduğum yer de hiç Suriyeli yaşamıyor.,hiçbiri,
54,Row1003,"ne diyeceğim bilemiyorum

Suriyeli çalıştırana teşvik, Türk çalışana yok! - Batuhan ÇOLAK https://t.co/kxSTCp0dye",hiçbiri,
55,Row1013,"Tekstil sektöründen bir dostum; 
""Ucuza Suriyeli çalıştırmadıkları için iş alamayan ve batma düzeyine gelen atölyeler, Suriyelilerin kayıtlı oldukları kentlere gönderilmesiyle tekrar iş alıp, çalışmaya başladılar."" https://t.co/kXf59eGTzp",hiçbiri,
56,Row1016,"Ümmet için,millet için, birlik için, suriyeli apaçi kardeşlerimiz için #İBByeBoykot https://t.co/fbzrOMb1ru",nefret,etnik
57,Row1018,Mardin-Kızıltepe ilçesinde Lider kadın Derneği’nin yaptıkları etkinlikler sayesinde Suriye’li kadınlar hayata tutunuyor. Konuklarımız Lider Kadın Derneği kurucusu ve Proje Müdürü Leyla Onur Yanar ve Suriyeli kursiyerler. https://t.co/GVgvg8UaxZ,hiçbiri,
58,Row1025,"Suriyeli Kürtlerden güvenli bölge açıklaması: Türk askerleri sınırdan çekilmeli

""Türk askerleri sınırlardan çekilmezse, her zaman bir tehdit olarak değerlendirilecek""

[Ahval News] https://t.co/jYexnlqEhi",hiçbiri,
59,Row1027,“100 binden fazla Suriyeli İstanbul’dan ayrılıyor” https://t.co/lYFIJStwlA @iznewsturkiye aracılığıyla https://t.co/IqVvqDfvjk,hiçbiri,
60,Row1037,Mesleği sınıf öğretmenliği olan bir arkadaşım var her yıl en az 3-4 tane Suriyeli çocuğa Türkçe konuşmayı/okumayı/yazmayı öğretip onların eğitim sistemine entegre olmalarını sağlıyor. Bakın bu ülke böyle insanlar omuzları üzerinde yükseliyor.,hiçbiri,
61,Row1044,"Suriyeli promosyonu | Suriyeli çalıştırana Türk işsiz eşantiyon  Haberi, Haberler, Son dakika haberler https://t.co/iGTLkl7Fne @skyturknet aracılığıyla",nefret,etnik
62,Row1062,Türkiye'yi Suriye batakligina sokarak Askeriye'ye ve suriyeli göcmenlere yapilan milyarlik harcamalarla Ekonominin batmasina ve yüzlerce asker ve sivil sehitler verilmesine sebep olan Ahmet Davutoglu ölünce Cehennem'e mi gider yoksa Dâr-ül Harb kahramani olarak Cennet'e mi gider?,hiçbiri,
63,Row1068,"Kusura bakmayın Gardaş
Tüm kadroyu Suriyeli canlarla değiştiriyorum https://t.co/1XNU91q7nF",hiçbiri,
64,Row1099,"Arkadaşım Suriyelileri çok eleştiriyorum diye bana kızıp bir Suriyeli Milli Mücadele videosu gönderdi.. Gerçekten çok duygulandım #ÖzürDilerim..  
#Persembe https://t.co/YJv8Z4DjI9",hiçbiri,
65,Row1112,Günaydın ☀️.. Gerçekten istemezdim bunu yapmayı #ÖzürDilerim ama İstanbul’a bu kadar çok Suriyeli yerleştirdiği için ben de #IBByeBoykot ediyorum !,nefret,etnik
66,Row1117,"Yakılan ormanlara ,İşkence edilen sokak hayvanlarına ,Memleketimi dolduran suriyeli insanlara ,Sabah kalktığımzda haberdar olduğumuz zamlara ,Tahrip edilen tarihi miraslarımıza ,İNSANLIKtan çıkmış gibi bu olan biteni doğal karşılayışımıza ... #BirKezOlsunTepkiKoyun",nefret,etnik
67,Row1121,#Perşembe Bol Suriyeli bir İstanbul sabahından günaydın.Suriyeli orta kesimlerde hafif şiddetli kıyı kesimlerde yer yer görünüp kaybolma şeklinde hayatımızın içinde.,nefret,etnik
68,Row1136,Suriyeli Haznevi Tarikatı Türkiye'de devasa külliye açıyor https://t.co/js5BfEDEXz,hiçbiri,
69,Row1139,"Suriyeli eylemciler tarafından Tayyip Erdoğan posteri yakılalı tam 4 gün oldu. Ben muhalif birisi olmama rağmen Cumhurbaşkanı’nın posterinin yakılmasına tepkiliyken, siz genel başkanınızın posterinin yakılmasına neden susuyorsunuz? Bu mu sizin milli duruşunuz ey AKP’liler? https://t.co/6u3Qt6hVj9",hiçbiri,
70,Row1147,Bu saati sevme nedenim bir tane bile Suriyeli yok ne güzel,nefret,etnik
71,Row1151,"İdlib raporu: On binlerce Suriyeli daha Türkiye’ye gelebilir

[Ahval News] https://t.co/JnefQd3b6X",hiçbiri,
72,Row1152,"#ÖzürDilerim
Suriyede ki türkmenlerin acısının sorumlusu 
Suriyeli Araplardır 
Özür dilerim misak-ı milli",nefret,etnik
73,Row1160,"Arapça yazıyı araplar, hatta suriyeli mülteciler yazdı varsayımı yapmak, baya ilkel bir mantık. Okuma yazmanız var, hayret. Ve evet, düpedüz ırkçısın, mentionların da ırkçı. Üşenmedim, hepsini tek tek şikayet ettim, teşhir de ediyorum. Azalarak bitin. https://t.co/RdE5cFcvUi https://t.co/Vb5UOiHsHp",hiçbiri,
74,Row1164,"KAÇAK-SARAY ve KAÇAK MİSAK-I MİLLİ olmaz
KAÇAK-MEDYAnın hilafına Bilimsel, Askeri görüşler, kısaca
İdlib’ten gelen Suriyeli cihatçıların sınırdaki Türkiye karşıtı eylemlerinin sansürsüz görüntüleri,Yeni çekiç güç hazırlıkları, Komutandan iç savaş uyarısı.
https://t.co/pD9Mi1oB4l",hiçbiri,
75,Row1166,"Füze nasıl atılır, suriyeli nasıl kapak edilir ekte 👇🏻

Taklitler aslını yüceltir. https://t.co/jlB9cSA3iG",nefret,etnik
76,Row1191,Gecenin 3 ünde niye yoldan geçerken Suriyeli gibi bağıra bağıra konuşuyorsun abi derdin ne,nefret,etnik
77,Row1209,Suriyeli Haznevi Tarikatı Türkiye'de devasa külliye açıyor https://t.co/cyDjSNAzjL,hiçbiri,
78,Row1224,Suriyeli👍 https://t.co/nu8tE8X805,hiçbiri,
79,Row1230,saka saka suriyeli sanmislar halime acimislar o yüzden ikram etmisler,hiçbiri,
80,Row1240,"İçişleri Bakanlığı'ndan 'Suriyeli' açıklaması: 35 bin kişi İstanbul'dan gönderildi
https://t.co/LOcE87yckN https://t.co/xrOr213mnm",hiçbiri,
81,Row1244,Sınır dışı edemiyor muyuz hepsini?Suriyeli falan diye araya sıkıştıralım https://t.co/pI1NDXJtLT,nefret,etnik
82,Row1257,Koca Avm de 2 kishi gördüm . Son 30 yilin en büyük krizi gelmish 20000 ABD  dolari 30000 Canada dolari ve 120 000 000 000 TL. Sen hala halkin malini mulkunu sattirip savash naralari at 4 milyon suriyeli besle 2 trilyon dolar savasha yatir https://t.co/WvDSPHUE6E,nefret,etnik
83,Row1269,"Kuş uyudun mu?
@ankara_kusu 
Bir arkadaşım yorum yapmış bir yerde fıkra gibi ,yazayimda gül..

""Bahçeli'nin aldığı oy dan fazla Suriyeli var memlekette,neyin milliyetçisi bu püskevit ""diyor kendisi...

Acayip güldüm..cuk oturmuş ama dimi...",hiçbiri,
84,Row1284,Bafra’da Ehliyetsiz Araç Kullanan Suriyeli Ceza Yedi https://t.co/WAYuT0jrSn,nefret,etnik
85,Row1304,Benim mehmetçiğim Arap topraklarında şehit olurken Suriyeli vatan hainleri cafelerde nargile keyfi yapıp kadınlarla eğleniyor ! Uyan Türkiyem uyan !!! https://t.co/cyPDjxuokw,nefret,etnik
86,Row1312,Pubgde beni vuran suriyeli siktirgit kendi ülkende aynı performansı göster lan birinciliği kaybettimmm çok sinirliyim,nefret,etnik
87,Row1319,Suriyeliler üzerinden planlanan provokasyonun büyüklüğünü net gösteren örnek Youtube'da bir kanalAynı kişi önce Suriyeli rolünde maaş alıyoruz Başka bir röpörtajdaysa Türkiye vatandaşı olarak asılsız yalanlar sıralıyor tutuklansın bu namussuzlar bu videolarla millet kışkırtılıyor https://t.co/KnqDoi6mHf,saldırgan,
88,Row1329,HDP'li Gülüm: Suriyeli çocuk sığınmacı Muhammed Reso'nun El Nusra’ya teslim edildiği doğru mu? https://t.co/QLi0rCJ8v7,hiçbiri,
89,Row1330,"Aynen ben de, aynı şeyi yapıyorum. Mesela dün dayım ve yengem 'Afganlar, Suriyeliler ülkeyi mahvetti. Dün bir çocuğa Suriyeli tecavüz etti. Bunlar ülkeden def olmalı falan diyordu.'Yemekteydik,sofrayı bıraktım, arkama bakmadan koşa koşa evlerinden kaçtım. Yoksa fena patlayacaktım https://t.co/AbzXPBSZFi",nefret,etnik
90,Row1346,"İstismara uğrayan kız çocukları istismar edenle evlenmeye zorlanıyor.
Bunu kabul etmeyen çocuklar intihara sürükleniyor.Çocuk evliliği,
ensest vakaları ciddi boyutlara ulaşmış..
Evlendirilen çocukların çocuk doğurması bekleniyor..
İstismar edilen Suriyeli çocuklar kuma veriliyor.",hiçbiri,
91,Row1351,Ya bu suriyeli haramiler herşeyi çalar  #ÜçlüBeşiktaşınÜçünBiriGsnin,nefret,etnik
92,Row1354,"Suriyeli ile eşit yaratıldığını düşünenler,çıkacak bir savaşta onlar gibi kaçacak olanlardır.
Hattâ bu yazıyı okuduklarında, “yok canım ne kaçması” diyecek olanlardır. 
“Diyelim kaçmayacaksın, ama onlar kaçtı.
Nasıl eşitsiniz?” https://t.co/a5b8bwpwI3",nefret,etnik
93,Row1366,Türkiye'nin Suriyelileri adanalılardır. Kime sorsam ya Adanalı ya da Suriyeli,nefret,etnik
94,Row1373,demek daha fazla suriyeli gelecek he devletimiz sınır kapılarını kapatmamış mıydı aq https://t.co/OE4SDqy5sP,saldırgan,
95,Row1383,DAVULCULARIN YERİNİ SURİYELİ ORKESTRACILAR ALDI https://t.co/LZ6GqXoqc6,hiçbiri,
96,Row1388,Aynı Vahdettin'in kaçtığı bu sefer Amerikan filosuna bindirip göndereceğiz. Bu ülke sizin gibi din simsarlari yüzünden 4.5 Milyon'dan fazla Suriyeli ve min 3 Milyon'dan fazla işsiz gence sahip.,hiçbiri,
97,Row1397,"#BirKezOlsunTepkiKoyun
İlk Önce Suriyeli
SONRA İSE TÜRK OLUYOR https://t.co/v2KRB0Z5bp",hiçbiri,
98,Row1421,Bu hayatta şansımız olsa zaten suriyeli dogardık 👌🏻,nefret,etnik
99,Row1435,"Suriyeli takıntım Yok lakin , hani hep onlar bizimdir diyolarya , madem öyle o zaman onların silah tutan erlerini gönderelim Suriye’ye savaşsınlar , dönerlerse bizimdir dönmezlerse zaten hiç bizim olmamışlardır ...",nefret,etnik
100,Row1454,"Suriye’liler için meydanlarda bağıra bağıra övüne övüne ‘Suriyeli kardeşlerimiz için 35 milyar dolar aktardık, ama AB sözünde durmadı’ diye attığınız nutukları da unutmadım. Tarihten, gerçekten kimse kaçamaz.",hiçbiri,
101,Row1468,"Dün sıfır arabamla, Konak, Alsancak bir gezeyim dedim.
Her taraf Suriyeli...
İmam bir arkadaşa sordum,
""Din kardeşleriniz camiiye geliyorlar mı?""
""Sen geliyor musun ki onlar gelsin"" deyip laf çakmaya kalktı.
Hoca bu durur mu:
""Lan onlarla sen din kardeşisin, ben değilim ki..!😂😂 https://t.co/mtIXADuxUF",nefret,etnik
102,Row1469,"Suriye de Suriye li lerle savaşan 
Ülkemizde  Suriyeli şerefsizleri 
Besleyen 
Tek 
Manyak 
Ülkeyiz
#suriyelileriistemiyoruz",nefret,etnik
103,Row1474,"#Bu #millet,
5 milyon Suriyeli sürüsünün ülkeye doldurulmasının @Ahmet_Davutoglu nun eseri olduğunu öğrendiğinde ❗ https://t.co/bjl5eHDoZj",nefret,etnik
104,Row1484,Dün okulda bi çocuģa sürü gibi suriyeliler çullanmış tekme tokat dalmışlar bugün öģretmen demiş kim gördü olayı benimki atlamış ben gördüm yaz kim kim vardı demiş bu da teek tek yazmış suriyeli biri demiş beni yazarsan bitersin anne en üste onu yazdm diyo.,nefret,etnik
105,Row1490,Reis bize de burs vermen için illa suriyeli mi olalımmmmmmmmmm,hiçbiri,
106,Row1493,"tez çalışma konusu suriyeli mülteciler olan kişi/lere ulaşmam gerek... şunu elden ele dolaştırabilir miyiz, tşklr.",hiçbiri,
107,Row1498,Bir köye Suriyeli bir kadın gelir o köy ilk defa bır Suriyeli insan görecekler. Köyün erkekleri kahve önünde toplanır ve kadın gelir yaşlı iki evli insanı bakmak icin. Köyün erkekleri ilk cümlesi dulmuş kadın.. önce kendi Zihniyetimizi yargılamak gerek,hiçbiri,
108,Row1502,Yok mu şöyle hadım edilecek bi Suriyeli sinirim anca öyle geçer,nefret,etnik
109,Row1504,"Fakirlik :(
ülkemin güzel insanları canlar can,  sen bunları doyur bak ev ver kıyafet ver aş ver,,,    suriyeli hayinlere bakacağına... https://t.co/vcQR5xDxn6",nefret,etnik
110,Row1510,"Suriyeli ""Bazı"" Araplar bayrağımızı yakmış nankörlük etmişler...

Medine müdafiisi atamız Fahreddin Paşa ve askerlerini aç bırakarak çekirge yemek zorunda bırakanlar,
Marslılar değildi herhalde...

Tarihten ibret almayan ibret olur...",nefret,etnik
111,Row1520,Sıkıntı yok  5 milyon suriyeli var boşamı besleniyor onlar? https://t.co/fhB11vh4Bk,nefret,etnik
112,Row1521,Yok TC kızları TC erkekleri bilmem ne.. hiçbir ülke istemio bizi suriyeli eş istemiyosanız kendi uyruğumuzun karşı cinsini kabullenmek zorundasınız anladnz mı,hiçbiri,
113,Row1523,"📜 BUNLARI BİLİYOR MUSUNUZ?

Türkiye'de yaklaşık 3 milyon 648 bin 750 Suriyeli sığınmacı bulunmaktadır.

2011yılından itibaren Türkiye'de 450 binin üzerinde Suriyeli çocuk dünyaya gelmiştir.

#SuriyeÇalışmaGrubu https://t.co/bJfj4M3lEq",hiçbiri,
114,Row1538,suriyeli istemiyoruz,nefret,etnik
115,Row1540,"Ülkemde suriyeli, hayatımda orospu çocuğu #istemiyorum",nefret,etnik
116,Row1541,"HDP ye , tecavüzcülere, vatana ihanet edenlere, Suriyeli mültecilere, zamlara, işsizliğe, beyin göçüne ve daha sayamadıklarımıza #BirKezOlsunTepkiKoyun",nefret,etnik
117,Row1544,Suriyeli asik oldu bana 😁,hiçbiri,
118,Row1562,"Bu doktorları bu yeni açılan Yazbee sitesine mi gönderelim ne yapalım. On tane Türk'ün içinde arapça konuşan iki Suriyeli gibiler aynı, bişey de anlamıyoruz.",hiçbiri,
119,Row1568,"Ülkeye bak arkadaş!
Ya zam geliyor ya Suriyeli...",nefret,etnik
120,Row1576,"liberal, suriyeli ve bdsm'ciyim bilseniz de olur https://t.co/ScUYnW55eB",hiçbiri,
121,Row1581,Suriyeli  bi kıza aşık oldum evlenirsem düğün rakka da beklerim,hiçbiri,
122,Row1584,Suriyeli sevgili yapıcam en azından gitmiyorlar amk,nefret,etnik
123,Row1586,Annem Suriyeli bi çocuğa önce iki yumarta demeyi öğretti sonra markete almaya gönderdi sıfır şaka,hiçbiri,
124,Row1595,Suriyeli bi talibim varsa açılabilir en azından gitmezsin mutlu mesut yaşarız,hiçbiri,
125,Row1598,Bir tokatlıyorsun fetöcü bir tokat daha suriyeli bir tokat daha pizzacı bir tokat daha beyoğlu yosması bir tokat daha ultravesti bir tokat daha suçuk ekmekçi elemanlarda o kadar fazla lakap var ki hangi biriyle hitap edeceksin ..,nefret,etnik
126,Row1606,"Hayır, Suriyeli değil bu çocuk işçi, müsterih olun! https://t.co/YNVsfCyQRH",hiçbiri,
127,Row1615,Suriyeli değiliz https://t.co/d77IwEEGj5,hiçbiri,
128,Row1616,"Kıyametin kopması için daha ne lazım Allah'ım !!

•20 ayda bin 216 çocuk cinsel istismara maruz kaldı.

•İstismarcısıyla evlenmeye zorlanan kız çocukları intihara sürükleniyor.

•Suriyeli çocuklar, istismarcıya para karşılığı ikinci eş olarak veriliyor.
https://t.co/dQZJLPQSvO",hiçbiri,
129,Row1622,"Suriyeli milletvekili Shebabi: 

”Türkiye halkını düşman olarak görmediğimizin bilinmesini isterim. Ancak Erdoğan ve onun partisi AKP, 8 yıldır ülkemizde terörizmi destekliyor’’",hiçbiri,
130,Row1628,Biz türk toprağında türke yan gözle bakan bizi alt etmeye çalışan suriyeli görmek istemiyoruz onların burada kalmasına izin verenler ülkeye ihanet içerisinde olunmasına sebep oluyor #suriyeliistemiyoruz #uelkemdesuriyeliistemiyorum,nefret,etnik
131,Row1653,Mustafa Cengiz : İlk suriyeli benim...,hiçbiri,
132,Row1654,"On binlerce Suriyeli gelebilir
Bugüne kadarki en büyük toplu göç dalgası!
https://t.co/WTfd7OIrhO https://t.co/Sxx352mbbm",hiçbiri,
133,Row1657,"*Aynaya bakılır*

Oha suriyeli gibiyim
 
*Sakallar kesilir*

Tebrikler iyi bok yediniz artık sekiz yaşındasınız

*Bir kaç hafta sonra tekrar edilir*",nefret,etnik
134,Row1678,"Plot olmayan twist, suriyeli mülteciyle iyi anlaştım ama arabasında son ses mevlit dinlediği ve çekirdek yiyip kabuklarını attığı için bff olamadık. Lakin 33 erkeğin çalıştığı ortamda tek kadındım, işimi ciddiye alıyordum, kendileri mesai saatinde maç izleyip el çırpıyordu.",hiçbiri,
135,Row1688,güneyli amerikan aksanımı bayağı geliştirdim keşke bahçem olsaydı da pompalıyla suriyeli kovsaydım,nefret,etnik
136,Row1700,Şanlıurfa Valiliğine Suriyeli akını! https://t.co/I9vPt1cv5b,hiçbiri,
